congress,chamber,rollnumber,icpsr,cast_code,prob
112,Senate,1,4812,1,
112,Senate,1,14009,1,
112,Senate,1,14203,1,
112,Senate,1,14226,1,
112,Senate,1,14230,1,
112,Senate,1,14307,1,
112,Senate,1,14400,1,
112,Senate,1,14440,1,
112,Senate,1,14503,1,
112,Senate,1,14506,1,
112,Senate,1,14651,1,
112,Senate,1,14661,1,
112,Senate,1,14709,1,
112,Senate,1,14806,1,
112,Senate,1,14852,1,
112,Senate,1,14858,1,
112,Senate,1,14871,1,
112,Senate,1,14912,1,
112,Senate,1,14914,1,
112,Senate,1,14920,1,
112,Senate,1,14921,1,
112,Senate,1,14922,9,
112,Senate,1,15011,1,
112,Senate,1,15015,1,
112,Senate,1,15021,1,
112,Senate,1,15039,1,
112,Senate,1,15054,1,
112,Senate,1,15408,1,
112,Senate,1,15424,1,
112,Senate,1,15425,1,
112,Senate,1,15429,1,
112,Senate,1,15502,1,
112,Senate,1,15703,1,
112,Senate,1,15704,1,
112,Senate,1,20101,1,
112,Senate,1,20115,1,
112,Senate,1,20735,1,
112,Senate,1,29142,1,
112,Senate,1,29147,1,
112,Senate,1,29345,1,
112,Senate,1,29373,1,
112,Senate,1,29386,1,
112,Senate,1,29389,1,
112,Senate,1,29512,1,
112,Senate,1,29534,1,
112,Senate,1,29537,1,
112,Senate,1,29548,1,
112,Senate,1,29555,1,
112,Senate,1,29566,1,
112,Senate,1,29722,1,
112,Senate,1,29732,1,
112,Senate,1,29735,1,
112,Senate,1,29754,1,
112,Senate,1,29906,1,
112,Senate,1,29909,1,
112,Senate,1,29918,1,
112,Senate,1,29924,1,
112,Senate,1,29935,1,
112,Senate,1,29936,1,
112,Senate,1,39310,1,
112,Senate,1,40103,1,
112,Senate,1,40300,1,
112,Senate,1,40301,1,
112,Senate,1,40304,1,
112,Senate,1,40305,1,
112,Senate,1,40700,1,
112,Senate,1,40701,1,
112,Senate,1,40702,1,
112,Senate,1,40703,1,
112,Senate,1,40704,1,
112,Senate,1,40705,1,
112,Senate,1,40706,9,
112,Senate,1,40707,1,
112,Senate,1,40900,1,
112,Senate,1,40902,1,
112,Senate,1,40904,1,
112,Senate,1,40905,1,
112,Senate,1,40906,1,
112,Senate,1,40907,1,
112,Senate,1,40908,1,
112,Senate,1,40909,1,
112,Senate,1,40910,1,
112,Senate,1,40913,1,
112,Senate,1,40915,1,
112,Senate,1,40916,1,
112,Senate,1,41101,1,
112,Senate,1,41102,1,
112,Senate,1,41104,1,
112,Senate,1,41106,1,
112,Senate,1,41107,1,
112,Senate,1,41110,1,
112,Senate,1,41111,1,
112,Senate,1,49300,9,
112,Senate,1,49306,1,
112,Senate,1,49308,1,
112,Senate,1,49700,1,
112,Senate,1,49702,1,
112,Senate,1,49703,1,
112,Senate,1,49706,1,
112,Senate,1,94659,1,
112,Senate,1,99911,9,
112,Senate,2,4812,9,100.0
112,Senate,2,14009,1,100.0
112,Senate,2,14203,1,100.0
112,Senate,2,14226,1,100.0
112,Senate,2,14230,1,99.8
112,Senate,2,14307,1,100.0
112,Senate,2,14400,1,100.0
112,Senate,2,14440,1,100.0
112,Senate,2,14503,1,100.0
112,Senate,2,14506,1,99.0
112,Senate,2,14651,1,100.0
112,Senate,2,14661,1,99.8
112,Senate,2,14709,1,100.0
112,Senate,2,14806,1,99.7
112,Senate,2,14852,1,99.9
112,Senate,2,14858,1,99.9
112,Senate,2,14871,1,99.9
112,Senate,2,14912,1,100.0
112,Senate,2,14914,1,99.7
112,Senate,2,14920,1,99.9
112,Senate,2,14921,1,100.0
112,Senate,2,14922,1,100.0
112,Senate,2,15011,1,99.8
112,Senate,2,15015,1,100.0
112,Senate,2,15021,1,100.0
112,Senate,2,15039,9,90.4
112,Senate,2,15054,1,100.0
112,Senate,2,15408,1,100.0
112,Senate,2,15424,1,99.4
112,Senate,2,15425,1,100.0
112,Senate,2,15429,1,79.1
112,Senate,2,15502,1,100.0
112,Senate,2,15703,1,100.0
112,Senate,2,15704,1,100.0
112,Senate,2,20101,1,100.0
112,Senate,2,20115,1,97.0
112,Senate,2,20735,1,99.7
112,Senate,2,29142,1,100.0
112,Senate,2,29147,1,99.5
112,Senate,2,29345,1,100.0
112,Senate,2,29373,1,100.0
112,Senate,2,29386,1,99.8
112,Senate,2,29389,1,100.0
112,Senate,2,29512,1,100.0
112,Senate,2,29534,1,100.0
112,Senate,2,29537,6,17.1
112,Senate,2,29548,1,99.9
112,Senate,2,29555,1,69.9
112,Senate,2,29566,1,99.8
112,Senate,2,29722,1,100.0
112,Senate,2,29732,1,100.0
112,Senate,2,29735,1,100.0
112,Senate,2,29754,1,100.0
112,Senate,2,29906,1,100.0
112,Senate,2,29909,1,100.0
112,Senate,2,29918,1,100.0
112,Senate,2,29924,1,100.0
112,Senate,2,29935,1,67.2
112,Senate,2,29936,6,25.2
112,Senate,2,39310,1,99.9
112,Senate,2,40103,1,100.0
112,Senate,2,40300,1,100.0
112,Senate,2,40301,1,100.0
112,Senate,2,40304,1,99.9
112,Senate,2,40305,1,99.7
112,Senate,2,40700,1,100.0
112,Senate,2,40701,1,100.0
112,Senate,2,40702,1,100.0
112,Senate,2,40703,1,100.0
112,Senate,2,40704,1,100.0
112,Senate,2,40705,1,98.7
112,Senate,2,40706,1,100.0
112,Senate,2,40707,1,100.0
112,Senate,2,40900,1,100.0
112,Senate,2,40902,1,100.0
112,Senate,2,40904,1,100.0
