"woldenberg","barragan","cantu","cardenas","lujambio","merino","molinar","peschard","zebadua","rivera","luken","folio","date","yr","mo","dy","qtr","sem","term","dunan"
1,1,1,1,1,1,1,1,1,0,0,196,1996-10-31,1996,10,31,1996.4,1996.2,2,1
1,2,1,1,1,1,1,1,1,0,0,197,1996-11-07,1996,11,7,1996.4,1996.2,2,0
1,2,1,1,1,1,1,1,1,0,0,198,1996-11-07,1996,11,7,1996.4,1996.2,2,0
1,1,1,1,1,1,1,1,1,0,0,199,1996-11-07,1996,11,7,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,200,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,201,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,202,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,203,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,204,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,205,1996-11-22,1996,11,22,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,206,1996-12-03,1996,12,3,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,207,1996-12-03,1996,12,3,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,208,1996-12-03,1996,12,3,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,209,1996-12-03,1996,12,3,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,210,1996-12-03,1996,12,3,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,211,1996-12-23,1996,12,23,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,1,0,0,212,1996-12-23,1996,12,23,1996.4,1996.2,2,1
1,1,1,1,1,1,1,1,2,0,0,213,1996-12-23,1996,12,23,1996.4,1996.2,2,0
1,1,1,1,1,1,1,1,2,0,0,214,1996-12-23,1996,12,23,1996.4,1996.2,2,0
1,1,1,1,1,1,1,1,1,0,0,215,1996-12-23,1996,12,23,1996.4,1996.2,2,1
